approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
WT1,12796,WT1,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_26862157 | PMID_33532864,11,TRUE
XDH,12805,XDH,PMID_35325889 | PMID_34264297 | PMID_36035137 | PMID_33664247 | PMID_30476936 | PMID_31027891 | PMID_26862157 | PMID_33532864,8,TRUE
XPNPEP3,28052,XPNPEP3,PMID_35325889 | PMID_33664247 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_31027891 | PMID_33532864 | PMID_35005812,9,TRUE
XPO5,17675,XPO5,PMID_34264297 | PMID_33664247 | PMID_29801666 | PMID_33532864,4,TRUE
XRCC4,12831,XRCC4,PMID_35325889 | PMID_30476936,2,TRUE
XYLT2,15517,XYLT2,PMID_30476936,1,FALSE
YAP1,16262,YAP1,PMID_30476936,1,FALSE
ZAP70,12858,ZAP70,PMID_30476936,1,FALSE
ZIC3,12874,ZIC3,PMID_30476936,1,FALSE
ZMPSTE24,12877,ZMPSTE24,PMID_30476936 | PMID_33532864,2,TRUE
ZMYND10,19412,ZMYND10,PMID_31509055 | PMID_31822006,2,TRUE
ZNF423,16762,ZNF423,PMID_34264297 | PMID_30476936 | PMID_31509055 | PMID_31822006 | PMID_29801666 | PMID_33532864 | PMID_35005812,7,TRUE
ZNF687,29277,ZNF687,PMID_30476936,1,FALSE
