approved_symbol,hgnc_id,gene_name_reported,source,source_count,source_evidence
EDNRA,3179,EDNRA,OMIM:616367 (HP:0000072),1,TRUE
EHHADH,3247,EHHADH,OMIM:615605 (HP:0000083),1,TRUE
EHMT1,24650,EHMT1,OMIM:610253 (HP:0012210),1,TRUE
EIF2AK3,3255,EIF2AK3,OMIM:226980 (HP:0000083),1,TRUE
ELP1,5959,ELP1,OMIM:223900 (HP:0012211 | HP:0000096),1,TRUE
EMP2,3334,EMP2,OMIM:615861 (HP:0000100 | HP:0031266 | HP:0012588 | HP:0012579),1,TRUE
EN1,3342,EN1,OMIM:619218 (HP:0000126),1,TRUE
ENPP1,3356,ENPP1,OMIM:208000 (HP:0001920); OMIM:613312 (HP:0012408),2,TRUE
EP300,3373,EP300,OMIM:114500 (HP:0005584),1,TRUE
ERBB3,3431,ERBB3,OMIM:607598 (HP:0000126),1,TRUE
ERCC4,3436,ERCC4,OMIM:610965 (HP:0000083),1,TRUE
ERCC6,3438,ERCC6,OMIM:133540 (HP:0000083),1,TRUE
ERCC8,3439,ERCC8,OMIM:216400 (HP:0000083),1,TRUE
ESCO2,27230,ESCO2,OMIM:216100 (HP:0000085); OMIM:268300 (HP:0000085 | HP:0000113),2,TRUE
ETFA,3481,ETFA,OMIM:231680 (HP:0000114 | HP:0000113 | HP:0000803),1,TRUE
ETFB,3482,ETFB,OMIM:231680 (HP:0000114 | HP:0000113 | HP:0000803),1,TRUE
ETFDH,3483,ETFDH,OMIM:231680 (HP:0000114 | HP:0000113 | HP:0000803),1,TRUE
EYA1,3519,EYA1,OMIM:113650 (HP:0004742 | HP:0000122 | HP:0000799 | HP:0000113 | HP:0004712 | HP:0000110 | HP:0000076),1,TRUE
FAH,3579,FAH,OMIM:276700 (HP:0000121 | HP:0000083 | HP:0000096 | HP:0001994 | HP:0000105),1,TRUE
FAM20A,23015,FAM20A,OMIM:204690 (HP:0000121 | HP:0000083 | HP:0004727 | HP:0000103),1,TRUE
FAM20C,22140,FAM20C,OMIM:259775 (HP:0000126 | HP:0000072),1,TRUE
FAN1,29170,FAN1,OMIM:614817 (HP:0003774 | HP:0001970 | HP:0032948 | HP:0000790 | HP:0000090 | HP:0041050),1,TRUE
FANCA,3582,FANCA,OMIM:227650 (HP:0000086 | HP:0000085 | HP:0000081 | HP:0012210 | HP:0000104),1,TRUE
FANCB,3583,FANCB,OMIM:300514 (HP:0000104),1,TRUE
FANCC,3584,FANCC,OMIM:227645 (HP:0000086 | HP:0000085 | HP:0000081 | HP:0000104),1,TRUE
FANCD2,3585,FANCD2,OMIM:227646 (HP:0000086 | HP:0000085 | HP:0000081 | HP:0000125 | HP:0000075 | HP:0000104),1,TRUE
FANCE,3586,FANCE,OMIM:600901 (HP:0000086 | HP:0000085 | HP:0000081 | HP:0000104),1,TRUE
FANCF,3587,FANCF,OMIM:603467 (HP:0000089 | HP:0000076 | HP:0000125),1,TRUE
FANCI,25568,FANCI,OMIM:609053 (HP:0000089 | HP:0000085 | HP:0012210 | HP:0000076),1,TRUE
FANCL,20748,FANCL,OMIM:614083 (HP:0000089 | HP:0000122),1,TRUE
FAT4,23109,FAT4,OMIM:615546 (HP:0000089),1,TRUE
FBXL4,13601,FBXL4,OMIM:615471 (HP:0001947),1,TRUE
FBXW11,13607,FBXW11,OMIM:618914 (HP:0000089),1,TRUE
